stdio    D         file_stdio.c:107  file_stdio_fopen                 [   0.00000] opening C:\Users\filip\OneDrive\Dokumenty\GitHub\saper\PP2.PRO.1ID11A.BEDNARZ.BŁACH.BRZOZA\x64\Debug\allegro5.cfg r
display  D   display_settings.c:214  debug_display_settings           [   0.18166] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.18175] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.18183] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.18193] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.18202] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.18212] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.18222] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.18231] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.18241] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.18251] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.18261] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.18273] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.18282] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.18290] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.18298] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.18312] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.18320] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.18329] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.18340] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.18350] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.18359] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.18368] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.18377] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.18387] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.18396] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.18406] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.18417] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.18426] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.18436] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.18446] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.18453] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.18461] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.18469] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.18479] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.18488] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.18498] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.18507] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.18518] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.18527] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.18537] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.18545] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.18554] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.18562] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.18570] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.18579] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.18590] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.18599] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.18608] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.18617] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.18627] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.18635] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.18644] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.18654] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.18665] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.18673] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.18684] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.18695] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.18705] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.18715] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.18754] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.18764] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.18787] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.18798] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.18811] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.18820] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 5/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.18830] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.18839] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 6/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.18847] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.18856] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 7/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.18866] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.18875] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 8/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.18884] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.18893] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.18903] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.18915] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.18924] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.18932] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.18942] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.18952] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.18963] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.18974] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.18984] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.18993] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.19003] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.19013] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.19024] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.19036] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.19046] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.19055] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.19064] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.19072] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.19081] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.19089] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.19098] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.19107] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.19117] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.19129] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.19139] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.19149] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.19159] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.19171] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.19180] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.19191] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.19203] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.19212] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.19220] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.19229] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.19238] Single Buffer requirement not met.
d3d      D         d3d_disp.cpp:1677 d3d_create_display_internals     [   0.19255] Trying format 0.
d3d      I         d3d_disp.cpp:1353 d3d_display_thread_proc          [   0.19348] Chose a display format: 23
d3d      I         d3d_disp.cpp:1422 d3d_display_thread_proc          [   0.19358] Normal window.
d3d      I         d3d_disp.cpp:786  d3d_create_device                [   0.23135] Using no depth stencil buffer
d3d      D         d3d_disp.cpp:848  d3d_create_device                [   0.27606] BeginScene succeeded in create_device
d3d      D         d3d_disp.cpp:856  d3d_create_device                [   0.27623] Success
d3d      D         d3d_disp.cpp:1703 d3d_create_display_internals     [   0.27636] Resumed after wait.
d3d      I         d3d_disp.cpp:1736 d3d_create_display_internals     [   0.27651] Format 0 succeeded.
d3d      D         d3d_disp.cpp:1767 d3d_create_display_internals     [   0.27711] Returning d3d_display: 000001CA0D2450F0
d3d      D         d3d_disp.cpp:1792 d3d_create_display_locked        [   0.27724] al_display=000001CA0D2450F0
d3d      D         d3d_disp.cpp:1793 d3d_create_display_locked        [   0.27735] al_display->vt=000001CA0D24A380
system   D            wsystem.c:836  maybe_parent_dir                 [   0.27793] Also searching C:\Users\filip\OneDrive\Dokumenty\GitHub\saper\PP2.PRO.1ID11A.BEDNARZ.BŁACH.BRZOZA\x64\
system   W            wsystem.c:896  _al_win_safe_load_library        [   0.27868] PathFindOnPath failed to find d3dx9_43.dll
system   D            wsystem.c:836  maybe_parent_dir                 [   0.27896] Also searching C:\Users\filip\OneDrive\Dokumenty\GitHub\saper\PP2.PRO.1ID11A.BEDNARZ.BŁACH.BRZOZA\x64\
system   W            wsystem.c:896  _al_win_safe_load_library        [   0.27955] PathFindOnPath failed to find d3dx9_42.dll
system   D            wsystem.c:836  maybe_parent_dir                 [   0.27982] Also searching C:\Users\filip\OneDrive\Dokumenty\GitHub\saper\PP2.PRO.1ID11A.BEDNARZ.BŁACH.BRZOZA\x64\
system   W            wsystem.c:896  _al_win_safe_load_library        [   0.28060] PathFindOnPath failed to find d3dx9_41.dll
system   D            wsystem.c:836  maybe_parent_dir                 [   0.28092] Also searching C:\Users\filip\OneDrive\Dokumenty\GitHub\saper\PP2.PRO.1ID11A.BEDNARZ.BŁACH.BRZOZA\x64\
system   W            wsystem.c:896  _al_win_safe_load_library        [   0.28154] PathFindOnPath failed to find d3dx9_40.dll
system   D            wsystem.c:836  maybe_parent_dir                 [   0.28178] Also searching C:\Users\filip\OneDrive\Dokumenty\GitHub\saper\PP2.PRO.1ID11A.BEDNARZ.BŁACH.BRZOZA\x64\
system   W            wsystem.c:896  _al_win_safe_load_library        [   0.28260] PathFindOnPath failed to find d3dx9_39.dll
system   D            wsystem.c:836  maybe_parent_dir                 [   0.28287] Also searching C:\Users\filip\OneDrive\Dokumenty\GitHub\saper\PP2.PRO.1ID11A.BEDNARZ.BŁACH.BRZOZA\x64\
system   W            wsystem.c:896  _al_win_safe_load_library        [   0.28386] PathFindOnPath failed to find d3dx9_38.dll
system   D            wsystem.c:836  maybe_parent_dir                 [   0.28413] Also searching C:\Users\filip\OneDrive\Dokumenty\GitHub\saper\PP2.PRO.1ID11A.BEDNARZ.BŁACH.BRZOZA\x64\
system   W            wsystem.c:896  _al_win_safe_load_library        [   0.28488] PathFindOnPath failed to find d3dx9_37.dll
system   D            wsystem.c:836  maybe_parent_dir                 [   0.28512] Also searching C:\Users\filip\OneDrive\Dokumenty\GitHub\saper\PP2.PRO.1ID11A.BEDNARZ.BŁACH.BRZOZA\x64\
system   W            wsystem.c:896  _al_win_safe_load_library        [   0.28590] PathFindOnPath failed to find d3dx9_36.dll
system   D            wsystem.c:836  maybe_parent_dir                 [   0.28614] Also searching C:\Users\filip\OneDrive\Dokumenty\GitHub\saper\PP2.PRO.1ID11A.BEDNARZ.BŁACH.BRZOZA\x64\
system   W            wsystem.c:896  _al_win_safe_load_library        [   0.28677] PathFindOnPath failed to find d3dx9_35.dll
system   D            wsystem.c:836  maybe_parent_dir                 [   0.28710] Also searching C:\Users\filip\OneDrive\Dokumenty\GitHub\saper\PP2.PRO.1ID11A.BEDNARZ.BŁACH.BRZOZA\x64\
system   W            wsystem.c:896  _al_win_safe_load_library        [   0.28779] PathFindOnPath failed to find d3dx9_34.dll
system   D            wsystem.c:836  maybe_parent_dir                 [   0.28803] Also searching C:\Users\filip\OneDrive\Dokumenty\GitHub\saper\PP2.PRO.1ID11A.BEDNARZ.BŁACH.BRZOZA\x64\
system   W            wsystem.c:896  _al_win_safe_load_library        [   0.28865] PathFindOnPath failed to find d3dx9_33.dll
system   D            wsystem.c:836  maybe_parent_dir                 [   0.28888] Also searching C:\Users\filip\OneDrive\Dokumenty\GitHub\saper\PP2.PRO.1ID11A.BEDNARZ.BŁACH.BRZOZA\x64\
system   W            wsystem.c:896  _al_win_safe_load_library        [   0.28948] PathFindOnPath failed to find d3dx9_32.dll
system   D            wsystem.c:836  maybe_parent_dir                 [   0.28973] Also searching C:\Users\filip\OneDrive\Dokumenty\GitHub\saper\PP2.PRO.1ID11A.BEDNARZ.BŁACH.BRZOZA\x64\
system   W            wsystem.c:896  _al_win_safe_load_library        [   0.29019] PathFindOnPath failed to find d3dx9_31.dll
system   D            wsystem.c:836  maybe_parent_dir                 [   0.29042] Also searching C:\Users\filip\OneDrive\Dokumenty\GitHub\saper\PP2.PRO.1ID11A.BEDNARZ.BŁACH.BRZOZA\x64\
system   W            wsystem.c:896  _al_win_safe_load_library        [   0.29086] PathFindOnPath failed to find d3dx9_30.dll
system   D            wsystem.c:836  maybe_parent_dir                 [   0.29109] Also searching C:\Users\filip\OneDrive\Dokumenty\GitHub\saper\PP2.PRO.1ID11A.BEDNARZ.BŁACH.BRZOZA\x64\
system   W            wsystem.c:896  _al_win_safe_load_library        [   0.29161] PathFindOnPath failed to find d3dx9_29.dll
system   D            wsystem.c:836  maybe_parent_dir                 [   0.29186] Also searching C:\Users\filip\OneDrive\Dokumenty\GitHub\saper\PP2.PRO.1ID11A.BEDNARZ.BŁACH.BRZOZA\x64\
system   W            wsystem.c:896  _al_win_safe_load_library        [   0.29244] PathFindOnPath failed to find d3dx9_28.dll
system   D            wsystem.c:836  maybe_parent_dir                 [   0.29267] Also searching C:\Users\filip\OneDrive\Dokumenty\GitHub\saper\PP2.PRO.1ID11A.BEDNARZ.BŁACH.BRZOZA\x64\
system   W            wsystem.c:896  _al_win_safe_load_library        [   0.29323] PathFindOnPath failed to find d3dx9_27.dll
system   D            wsystem.c:836  maybe_parent_dir                 [   0.29346] Also searching C:\Users\filip\OneDrive\Dokumenty\GitHub\saper\PP2.PRO.1ID11A.BEDNARZ.BŁACH.BRZOZA\x64\
system   W            wsystem.c:896  _al_win_safe_load_library        [   0.29403] PathFindOnPath failed to find d3dx9_26.dll
system   D            wsystem.c:836  maybe_parent_dir                 [   0.29432] Also searching C:\Users\filip\OneDrive\Dokumenty\GitHub\saper\PP2.PRO.1ID11A.BEDNARZ.BŁACH.BRZOZA\x64\
system   W            wsystem.c:896  _al_win_safe_load_library        [   0.29489] PathFindOnPath failed to find d3dx9_25.dll
system   D            wsystem.c:836  maybe_parent_dir                 [   0.29518] Also searching C:\Users\filip\OneDrive\Dokumenty\GitHub\saper\PP2.PRO.1ID11A.BEDNARZ.BŁACH.BRZOZA\x64\
system   W            wsystem.c:896  _al_win_safe_load_library        [   0.29728] PathFindOnPath failed to find d3dx9_24.dll
d3dx9    E        d3d_d3dx9.cpp:121  _al_load_d3dx9_module            [   0.29747] Failed to load D3DX9 library. Library is not installed.
stdio    D         file_stdio.c:107  file_stdio_fopen                 [   0.29792] opening PixeloidSans-mLxMm.ttf rb
font     D                ttf.c:971  al_load_ttf_font_stretch_f       [   0.31275] Font PixeloidSans-mLxMm.ttf loaded with pixel size 0 x 24.
font     D                ttf.c:973  al_load_ttf_font_stretch_f       [   0.31293]     ascent=24.0, descent=-6.0, height=30.0
dtor     D               dtor.c:196  _al_register_destructor          [   0.31326] added dtor for ttf_font 000001CA1213E7A0, func 00007FF9029B128F
stdio    D         file_stdio.c:107  file_stdio_fopen                 [   0.31339] opening PixeloidSans-mLxMm.ttf rb
font     D                ttf.c:971  al_load_ttf_font_stretch_f       [   0.31382] Font PixeloidSans-mLxMm.ttf loaded with pixel size 0 x 32.
font     D                ttf.c:973  al_load_ttf_font_stretch_f       [   0.31394]     ascent=32.0, descent=-8.0, height=40.0
dtor     D               dtor.c:196  _al_register_destructor          [   0.31405] added dtor for ttf_font 000001CA1213E880, func 00007FF9029B128F
stdio    D         file_stdio.c:107  file_stdio_fopen                 [   0.31415] opening PixeloidSans-mLxMm.ttf rb
font     D                ttf.c:971  al_load_ttf_font_stretch_f       [   0.31448] Font PixeloidSans-mLxMm.ttf loaded with pixel size 0 x 40.
font     D                ttf.c:973  al_load_ttf_font_stretch_f       [   0.31459]     ascent=40.0, descent=-9.0, height=49.0
dtor     D               dtor.c:196  _al_register_destructor          [   0.31470] added dtor for ttf_font 000001CA1213E0A0, func 00007FF9029B128F
dtor     D               dtor.c:196  _al_register_destructor          [   0.31542] added dtor for queue 000001CA12025120, func 00007FF901731C49
stdio    D         file_stdio.c:107  file_stdio_fopen                 [   0.31558] opening CELL.jpg rb
stdio    D         file_stdio.c:107  file_stdio_fopen                 [   0.32266] opening CELL.jpg rb
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.32448] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.32462] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.32473] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.32483] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.32492] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.32502] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.32513] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.32526] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.32536] Fake format
d3d      D         d3d_disp.cpp:1205 real_choose_bitmap_format        [   0.32545] Alpha doesn't match
d3d      D         d3d_disp.cpp:1212 real_choose_bitmap_format        [   0.32555] Adapter format is 23
d3d      D         d3d_disp.cpp:1215 real_choose_bitmap_format        [   0.32567] Found a format
d3d      I         d3d_disp.cpp:2386 d3d_create_bitmap                [   0.32578] Chose bitmap format 9
dtor     D               dtor.c:196  _al_register_destructor          [   0.32612] added dtor for bitmap 000001CA12156930, func 00007FF90173118B
stdio    D         file_stdio.c:107  file_stdio_fopen                 [   0.32763] opening CELL_REVEALED.jpg rb
stdio    D         file_stdio.c:107  file_stdio_fopen                 [   0.33686] opening CELL_REVEALED.jpg rb
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.33710] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.33719] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.33727] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.33737] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.33746] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.33755] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.33764] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.33773] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.33782] Fake format
d3d      D         d3d_disp.cpp:1205 real_choose_bitmap_format        [   0.33791] Alpha doesn't match
d3d      D         d3d_disp.cpp:1212 real_choose_bitmap_format        [   0.33801] Adapter format is 23
d3d      D         d3d_disp.cpp:1215 real_choose_bitmap_format        [   0.33811] Found a format
d3d      I         d3d_disp.cpp:2386 d3d_create_bitmap                [   0.33820] Chose bitmap format 9
dtor     D               dtor.c:196  _al_register_destructor          [   0.33851] added dtor for bitmap 000001CA12154EB0, func 00007FF90173118B
stdio    D         file_stdio.c:107  file_stdio_fopen                 [   0.33880] opening CELL_MINE.jpg rb
stdio    D         file_stdio.c:107  file_stdio_fopen                 [   0.34667] opening CELL_MINE.jpg rb
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.34699] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.34709] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.34720] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.34729] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.34739] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.34747] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.34755] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.34764] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.34777] Fake format
d3d      D         d3d_disp.cpp:1205 real_choose_bitmap_format        [   0.34794] Alpha doesn't match
d3d      D         d3d_disp.cpp:1212 real_choose_bitmap_format        [   0.34805] Adapter format is 23
d3d      D         d3d_disp.cpp:1215 real_choose_bitmap_format        [   0.34816] Found a format
d3d      I         d3d_disp.cpp:2386 d3d_create_bitmap                [   0.34827] Chose bitmap format 9
dtor     D               dtor.c:196  _al_register_destructor          [   0.34877] added dtor for bitmap 000001CA12156720, func 00007FF90173118B
stdio    D         file_stdio.c:107  file_stdio_fopen                 [   0.34913] opening CELL_FLAG.jpg rb
stdio    D         file_stdio.c:107  file_stdio_fopen                 [   0.35653] opening CELL_FLAG.jpg rb
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.35683] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.35693] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.35703] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.35712] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.35722] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.35732] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.35741] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.35749] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.35757] Fake format
d3d      D         d3d_disp.cpp:1205 real_choose_bitmap_format        [   0.35765] Alpha doesn't match
d3d      D         d3d_disp.cpp:1212 real_choose_bitmap_format        [   0.35776] Adapter format is 23
d3d      D         d3d_disp.cpp:1215 real_choose_bitmap_format        [   0.35784] Found a format
d3d      I         d3d_disp.cpp:2386 d3d_create_bitmap                [   0.35794] Chose bitmap format 9
dtor     D               dtor.c:196  _al_register_destructor          [   0.35824] added dtor for bitmap 000001CA12163AE0, func 00007FF90173118B
stdio    D         file_stdio.c:107  file_stdio_fopen                 [   0.35853] opening CELL_VALUE_1.jpg rb
stdio    D         file_stdio.c:107  file_stdio_fopen                 [   0.36614] opening CELL_VALUE_1.jpg rb
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.36643] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.36652] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.36662] Fake format
